iter	Logloss
141	0.5323879684
142	0.531820418
143	0.5315572458
144	0.5313688348
145	0.5312498746
146	0.5310201855
147	0.5308390691
148	0.5305859643
149	0.5304421947
150	0.5300739175
151	0.5297896131
152	0.5294543221
153	0.5292239503
154	0.5289269084
155	0.5286747888
156	0.5285466244
157	0.5283125102
158	0.5280706386
159	0.5277825803
160	0.5277088399
161	0.5275615918
162	0.5274489163
163	0.527231912
164	0.5269964321
165	0.526849968
166	0.5265993955
167	0.5263215164
168	0.5260944884
169	0.5258985699
170	0.5258107491
171	0.5255908445
172	0.5254541804
173	0.5252406153
174	0.5250470938
175	0.5249167225
176	0.524739667
177	0.5245686418
178	0.5244088258
179	0.5242629977
180	0.5241018055
181	0.5239569091
182	0.5237129668
183	0.5235770237
184	0.5233710631
185	0.5232805512
186	0.5231666627
187	0.5228045214
188	0.5227280227
189	0.5225915975
190	0.5223647466
191	0.522011395
192	0.5219211559
193	0.5215915976
194	0.5213869147
195	0.5212710025
196	0.5211198342
197	0.5209817655
198	0.5208847985
199	0.5206394992
200	0.5204669461
201	0.5203825348
202	0.5202679645
203	0.5201375936
204	0.5200700356
205	0.520015608
206	0.5199675512
207	0.519882381
208	0.5197057113
209	0.5196045659
210	0.5195096669
211	0.5194038748
212	0.5192771633
213	0.5192170794
214	0.5190457972
215	0.5189353095
216	0.5187517961
217	0.5186489973
218	0.5185601875
219	0.5184329893
220	0.5183377897
221	0.5182514409
222	0.5180745056
223	0.5179768587
224	0.5178747576
225	0.5177974321
226	0.5177485433
227	0.5175774538
228	0.5174373295
229	0.5172832879
230	0.5171857782
231	0.5171162352
232	0.5170282005
233	0.5169247584
234	0.5168462315
235	0.5166948919
236	0.5165737494
237	0.5164722877
238	0.5163468255
239	0.516263441
240	0.5161527497
241	0.5160847163
242	0.5159872613
243	0.5159412815
244	0.5157934048
245	0.5157562456
246	0.5157048329
247	0.5155922503
248	0.5154849391
249	0.5154166577
250	0.515306441
251	0.5152019985
252	0.515140177
253	0.5150720297
254	0.5149893788
255	0.5148726022
256	0.5147609925
257	0.5146559509
258	0.514526078
259	0.5144359845
260	0.5143413147
261	0.514258193
262	0.514111829
263	0.5138969764
264	0.5137903858
265	0.5137188584
266	0.5136899775
267	0.5135637325
268	0.5134763635
269	0.5134287967
270	0.5133278097
271	0.5132398993
272	0.5131507727
273	0.5129954845
274	0.5128797013
275	0.5128225884
276	0.5127101767
277	0.5126208523
278	0.5125677919
279	0.5125276962
280	0.5123848646
281	0.5123240375
282	0.5122819174
283	0.5122157816
284	0.5121217966
285	0.5120064076
286	0.5119239436
287	0.5118325084
288	0.5117534487
289	0.511616318
290	0.5115510499
291	0.5115094224
292	0.5114801327
293	0.5114054257
294	0.5112965001
295	0.5112180932
296	0.5110982195
297	0.5109643083
298	0.5108373371
299	0.5107484328
300	0.5107262652
301	0.5106905803
302	0.5106238963
303	0.5105795345
304	0.5105416438
305	0.5105098367
306	0.5104197717
307	0.5103656393
308	0.5102838153
309	0.510149849
310	0.5101172946
311	0.5100726332
312	0.5100325399
